"current_path","classification","original_path","destination_applied","in_repo_now","active_consumer","referenced_by","requires_local_data","manuscript_relevant","safe_to_move","notes"
"manuscript/Fig1_behavior_candidates/figure_manifest.csv","manuscript_builder","manuscript/Fig1_behavior_candidates/figure_manifest.csv","KEEP (not moved)",TRUE,"none at runtime - build_fig1_candidates.R never reads it; the panel list is duplicated as literals in the script (tribble at lines 266-282 plus the copy_pair calls).","manuscript/Fig1_behavior_candidates/README.md:20; manuscript/BehavioralDynamics_schema/README.md:89-91; manuscript/BehavioralDynamics_schema/R/21_supp_warnings.R:76","no","yes","yes","Tracked declarative 11-row panel roster. STATUS VOCABULARY in its default_status column: core (rows 1-6), optional_after_rerun (rows 7, 10), blocked_pending_phase_classifier_fix_and_rerun (rows 8, 9, 11). NOTE A PRE-EXISTING DIVERGENCE (do not fix during restructuring, just record it): the script now assigns optional_after_rerun to repeated_adaptation and active_inactive_systems and blocked_pending_inactive_qc_audit to rest_state_architecture, because the phase-classifier gate was cleared (script comment lines 270-278). The manifest still carries the old blocked_pending_phase_classifier_fix_and_rerun for all three, and two other docs quote that stale value."
"manuscript/Fig1_behavior_candidates/README.md","manuscript_builder","manuscript/Fig1_behavior_candidates/README.md","KEEP (not moved)",TRUE,"Documentation; not executed.","none","no","yes","yes","Documents the six-panel story, the repo-root invocation contract (line 27), the S: default project root (line 33), the MMM_BEHAVIOR_PROJECT_ROOT override (line 39) and the rendered/core output location (line 45). All paths are repo-relative or the data root - none would need rewriting. Line 20 still describes the Stage 11/12 permissive active|dark|night classifier as unfixed, which the build script's own comment (lines 270-278) says has since been corrected - a stale-doc note, not a move blocker."
"README.md","production","README.md","KEEP (not moved)",TRUE,"Repository entry point; rendered by GitHub. Not executed.","docs/analysis_strategy_for_manuscript.md (lists README.md among the documents to read together)","no","indirect","no","Top-level project documentation. Its Repository Structure block (lines 62-70) lists Analysis/, Functions/, Formatting/, Testing/, docs/, README.md - it does NOT mention manuscript/ or analysis_ready/ at all, so the restructure should add manuscript/ there. It references Analysis/_pipeline_setup.R, Analysis/run_all_analysis.R, Analysis/README_pipeline.md and Analysis/_archive/ by path; if any of those move the README needs the same-commit update. Must stay at the repo root."
"Testing/audits/audit_first_night_candidate_set_algebra_crosscheck.R","data_dependent_audit","Testing/audit_first_night_candidate_set_algebra_crosscheck.R","Testing/audits/audit_first_night_candidate_set_algebra_crosscheck.R",TRUE,"none - one-off orchestrator cross-check, run manually as `Rscript Testing/audit_first_night_candidate_set_algebra_crosscheck.R` from the repo root; no scheduler, no pipeline stage, no test runner sources it","none","yes","indirect","yes","Repo-root resolution: line 4 `setwd(""C:/Users/topohl/Documents/GitHub/MMMSociability"")` (absolute) then line 5 `source(""Analysis/_pipeline_setup.R"")` (CWD-relative, evaluated AFTER the setwd) => fully depth-independent and invocation-CWD-independent. No `--file=`/`dirname()` logic, no `THIS_SCRIPT` literal. READS S: (analysis_ready/03_derived_metrics/5min_based/all_behavior_metrics.csv). WRITES NOTHING - console output only (no write_csv/ggsave/writeLines anywhere). Independent from-scratch re-derivation of the nine first-night z-features and the 8x9 formula-coefficient matrix; it cross-checks the three algebraic identities and the formula-space geometry asserted by Testing/audit_first_night_candidate_set_scores.R. Not superseded (it is the independent check, not the producer), but it is a satellite of the candidate-set chain whose conclusions are now frozen in Functions/first_night_domain_helpers.R."
"Testing/audits/audit_first_night_candidate_set_decision.R","data_dependent_audit","Testing/audit_first_night_candidate_set_decision.R","Testing/audits/audit_first_night_candidate_set_decision.R",TRUE,"none - terminal step of the manual candidate-set chain (scores -> effects -> decision); nothing sources or schedules it","none","yes","indirect","yes_with_reference_updates","Repo-root resolution: absolute setwd (line 50) + CWD-relative source of Analysis/_pipeline_setup.R (line 51) => depth-independent, SAFE. READS S: only via the audit dir (OUT/first_night_10domain_scores.csv, _formula_overlap, _redundancy, _locomotion_dominance from candidate_set_scores.R; _effects.csv and first_night_group_sex_interactions.csv from candidate_set_effects.R). WRITES TO S:: first_night_final_domain_decision.csv, first_night_candidate_set_decision_assertions.csv, first_night_candidate_set_readme.md, and two candidate figures Fig_first_night_minimal_heatmap.{svg,pdf} + Fig_first_night_10domain_audit_heatmap.{svg,pdf}, all under <PROJ>/analysis_ready/12_systems_neuroscience_summary/5min_based/audit_hmm_state_architecture/first_night_domain_heatmap/. Hard `stopifnot(dir.exists(OUT))` at line ~48 => it cannot run unless the upstream chain already populated that S: directory. Reference update needed on move: line 60 `THIS_SCRIPT <- ""Testing/audit_first_night_candidate_set_decision.R""` is stamped into the decision table, the assertions table and the README (lines 391, 570, 919); leaving it stale would mislabel provenance, updating it changes only a metadata string, never a number. SUPERSESSION: this is the terminal decision record that supersedes the 5-domain sets of audit_first_night_domain_scores_v2.R / audit_first_night_heatmap_v2.R; it is itself operationally superseded by the productionized Functions/first_night_domain_helpers.R + Functions/first_night_domain_driver.R (driven by Analysis/14) and locked by Testing/test_first_night_domain_contract.R. Keep as the written justification for the displayed row set. || MOVE_BREAKS: nothing functionally; only the embedded provenance literal THIS_SCRIPT (line 60) becomes a stale path inside re-run output tables and the README"
"Testing/audits/audit_first_night_candidate_set_effects.R","data_dependent_audit","Testing/audit_first_night_candidate_set_effects.R","Testing/audits/audit_first_night_candidate_set_effects.R",TRUE,"none - middle step of the manual chain; its S: CSV outputs (first_night_10domain_effects.csv, first_night_group_sex_interactions.csv) are read by Testing/audit_first_night_candidate_set_decision.R, but no script sources this file","none","yes","indirect","yes_with_reference_updates","Repo-root resolution: absolute setwd (line 49) + CWD-relative source (line 50) => depth-independent, SAFE. READS S:: OUT/first_night_10domain_scores.csv (from candidate_set_scores.R) plus DERIV/5min_based/all_behavior_metrics.csv for the roster. WRITES TO S: (7 tables into the same first_night_domain_heatmap audit dir): first_night_10domain_effects.csv, first_night_group_sex_interactions.csv, first_night_multiplicity_sensitivity.csv, first_night_volatility_multiplicity_focus.csv, first_night_10domain_resolution_agreement.csv, first_night_10domain_locomotion_dominance.csv, first_night_candidate_set_effects_assertions.csv. `stopifnot(dir.exists(OUT))` => requires the upstream run. Reference update on move: line 60 THIS_SCRIPT and line 61 `UPSTREAM <- ""Testing/audit_first_night_candidate_set_scores.R""` are written into the source_script/script provenance columns of every output table (lines 241-242, 378-379, 503-504, 618, 682, 718); if candidate_set_scores.R also moves, UPSTREAM must move with it. SUPERSESSION: extends and supersedes the contrast tables of audit_first_night_domain_scores_v2.R / audit_first_night_heatmap_v2.R from 5 displayed domains to the 10-candidate set; itself superseded operationally by Functions/first_night_domain_driver.R (Stage 14 contrasts/interactions). || MOVE_BREAKS: nothing functionally; the THIS_SCRIPT/UPSTREAM path literals (lines 60-61) become stale provenance strings in re-run outputs"
"Testing/audits/audit_first_night_candidate_set_scores.R","data_dependent_audit","Testing/audit_first_night_candidate_set_scores.R","Testing/audits/audit_first_night_candidate_set_scores.R",TRUE,"none - first step of the manual chain; its S: output first_night_10domain_scores.csv is consumed by audit_first_night_candidate_set_effects.R and audit_first_night_candidate_set_decision.R, and re-derived independently by audit_first_night_candidate_set_algebra_crosscheck.R","Testing/audit_first_night_candidate_set_effects.R (lines 11, 61)","yes","indirect","yes_with_reference_updates","Repo-root resolution: absolute setwd (line 50) + CWD-relative source (line 51) => depth-independent, SAFE. READS S:: 03_derived_metrics/{10min_based,5min_based}/all_behavior_metrics.csv and 06_behavioral_dynamics/hmm_states. WRITES TO S:: first_night_10domain_scores.csv, first_night_10domain_formula_overlap.csv, first_night_10domain_redundancy.csv (dir.create, so it can bootstrap the audit dir). Reference update on move: line 62 THIS_SCRIPT stamped into the scores table (line 428); one referencing file (candidate_set_effects.R lines 11 and 61) hard-codes this path as UPSTREAM and must be updated in lockstep. SUPERSESSION: header states it reuses the window/phase/feature/standardization contract VERBATIM from audit_first_night_domain_scores_v2.R and extends the row set from 5 to 10 candidates, so it supersedes v2 for the candidate-set question; all of it is now productionized in Functions/first_night_domain_helpers.R. || MOVE_BREAKS: nothing functionally; the THIS_SCRIPT literal (line 62) and the UPSTREAM literal in candidate_set_effects.R:61 become stale unless both are updated together"
"Testing/audits/audit_first_night_domain_scores.R","data_dependent_audit","Testing/audit_first_night_domain_scores.R","Testing/audits/audit_first_night_domain_scores.R",TRUE,"none - superseded v1 audit; no script sources or schedules it and its S: outputs are overwritten by the v2 script","Testing/audit_first_night_domain_scores_v2.R (lines 4, 782, 1124)","yes","indirect","yes_with_reference_updates","SUPERSEDED (do not delete - it is the documented defect baseline). audit_first_night_domain_scores_v2.R:3-4 states verbatim 'v2, SUPERSEDES Testing/audit_first_night_domain_scores.R'; v1 built the raw domains on the Stage 14 `local_bin <= 12h/bin` COUNT rule, which matches the canonical clock window for only 50/111 animals at 10 min and 33/111 at 5 min. v2 line 1124 keeps a reproduction of the v1 rule purely to quantify the defect. Repo-root resolution: absolute setwd (line 29) + CWD-relative source (line 30) => depth-independent, SAFE. READS S:: 03_derived_metrics/5min_based/all_behavior_metrics.csv, 16_sleep_like_inactivity_metrics/.../sleep_like_inactivity_features.csv, 06_behavioral_dynamics/hmm_states, plus the CombZ workbook S:/.../SIS_Analysis/E9_Behavior_Data.xlsx. WRITES TO S: (~16 tables) into audit_hmm_state_architecture/first_night_domain_heatmap/, and CRITICALLY it writes the SAME basenames as v2 (first_night_domain_scores.csv, first_night_domain_provenance.csv, first_night_domain_redundancy_audit.csv, first_night_group_sex_n.csv) - so re-running v1 after v2 would silently overwrite the current v2 artifacts with the superseded count-rule values. Flag that collision when placing it. Reference update on move: line 47 THIS_SCRIPT literal, plus the three citing lines in v2. || MOVE_BREAKS: nothing functionally; the THIS_SCRIPT literal (line 47) and v2's three citation strings become stale paths"
"Testing/audits/audit_first_night_domain_scores_v2.R","data_dependent_audit","Testing/audit_first_night_domain_scores_v2.R","Testing/audits/audit_first_night_domain_scores_v2.R",TRUE,"none - manual audit; its S: outputs (first_night_domain_scores.csv, first_night_hmm_component_features_v2.csv, first_night_hmm_state_semantics_v2.csv, first_night_domain_contrasts_v2.csv) are consumed by Testing/audit_first_night_heatmap_v2.R","Testing/audit_first_night_heatmap_v2.R (lines 6, 67, 148); Testing/audit_first_night_candidate_set_scores.R (lines 11, 397)","yes","indirect","yes_with_reference_updates","Repo-root resolution: absolute setwd (line 44) + CWD-relative source (line 45) => depth-independent, SAFE. READS S:: 03_derived_metrics/{10min,5min}_based/all_behavior_metrics.csv and 06_behavioral_dynamics/hmm_states. WRITES TO S: (~16 tables) into audit_hmm_state_architecture/first_night_domain_heatmap/. SUPERSESSION: supersedes audit_first_night_domain_scores.R (the local_bin<=12h count rule -> canonical clock window 18:30->06:30); itself extended/superseded by the candidate-set chain (candidate_set_scores.R reuses its code verbatim and grows 5 -> 10 domains) and finally productionized as Functions/first_night_window_helpers.R + Functions/first_night_domain_helpers.R, consumed by Analysis/14_systems_neuroscience_summary_dashboard.R and locked by Testing/test_first_night_window_parity.R / Testing/test_first_night_domain_contract.R. Reference updates on move: line 56 THIS_SCRIPT, line 782 `supersedes` literal, and the two downstream citers above (heatmap_v2.R:67 UPSTREAM is load-bearing for provenance, heatmap_v2.R:148 only regex-matches the basename 'audit_first_night_domain_scores_v2' inside a scores column so it survives a directory change). || MOVE_BREAKS: nothing functionally; THIS_SCRIPT (line 56), the supersedes literal (line 782) and heatmap_v2.R:67 UPSTREAM become stale path strings"
"Testing/audits/audit_first_night_dwell_partition_stability.R","data_dependent_audit","Testing/audit_first_night_dwell_partition_stability.R","Testing/audits/audit_first_night_dwell_partition_stability.R",TRUE,"none - manual prerequisite run; its S: output first_night_dwell_partition_stability_values.csv is read by Testing/audit_first_night_dwell_shipped_vs_refit.R","none","yes","indirect","yes","Repo-root resolution: absolute setwd (line 7) + CWD-relative source (line 8) => depth-independent, SAFE. No THIS_SCRIPT/self-path literal. READS S:: 03_derived_metrics/{5min,10min}_based/all_behavior_metrics.csv. WRITES TO S:: first_night_dwell_partition_stability_values.csv and first_night_dwell_partition_stability_contrasts.csv under audit_hmm_state_architecture/first_night_domain_heatmap/. Heavy: refits the 10-min depmixS4 HMM at 5 seeds (7, 1, 101, 23, 313) spanning the 5 distinct optima and defines a custom S4 class HMMRegularizedNORMresponse - long runtime, and it needs depmixS4 installed. Not superseded; it is the construct-stability gate that justified displaying mean_dwell_minutes (and excluding top_proximity_state_fraction). Its stability CSV is a hard input for dwell_shipped_vs_refit.R, so the two should be relocated together."
"Testing/audits/audit_first_night_dwell_shipped_vs_refit.R","data_dependent_audit","Testing/audit_first_night_dwell_shipped_vs_refit.R","Testing/audits/audit_first_night_dwell_shipped_vs_refit.R",TRUE,"none - manual reconciliation run, downstream of audit_first_night_dwell_partition_stability.R via the S: CSV it produces","none","yes","indirect","yes","Repo-root resolution: absolute setwd (line 5) + CWD-relative source (line 6) => depth-independent, SAFE. No self-path literal. READS S:: 03_derived_metrics/{5min,10min}_based/all_behavior_metrics.csv, 06_behavioral_dynamics/hmm_states/10min_based/tables/hmm_state_assignments.csv, and OUT/first_night_dwell_partition_stability_values.csv (hard dependency - will error if the partition-stability script has not been run). WRITES TO S: one table (fn_ship joined with the seed-7 refit) into the same first_night_domain_heatmap audit dir. Resolves the Female RES-CON sign discrepancy (+0.059 shipped vs -0.815 refit) and establishes that the SHIPPED Stage 08 Viterbi labels are the production-relevant version - a scientifically load-bearing conclusion for the displayed persistence row. Not superseded."
"Testing/audits/audit_first_night_heatmap_v2.R","data_dependent_audit","Testing/audit_first_night_heatmap_v2.R","Testing/audits/audit_first_night_heatmap_v2.R",TRUE,"none - manual terminal run of the v2 branch; consumes the S: tables written by audit_first_night_domain_scores_v2.R","none","yes","indirect","yes_with_reference_updates","Repo-root resolution: absolute setwd (line 52) + CWD-relative source (line 53) => depth-independent, SAFE. READS S:: OUT/first_night_domain_scores.csv, first_night_hmm_component_features_v2.csv, first_night_hmm_state_semantics_v2.csv, first_night_domain_contrasts_v2.csv, DERIV/5min_based/all_behavior_metrics.csv, the production CC1 table, and the CombZ workbook E9_Behavior_Data.xlsx. WRITES TO S: 8 CSVs, a README (first_night_heatmap_readme.md) and TWO figure pairs Fig_first_night_domain_heatmap.{svg,pdf} + Fig_first_night_hmm_components.{svg,pdf} - audit basenames only; the production panel is Fig_sis_CC1_first_active_domain_heatmap.svg / Fig_sis_first_night_domain_heatmap_5min_sensitivity from Analysis/14, so no production figure is touched. Has a hard `stopifnot(all(file.exists(figs)), all(file.size(figs) > 5000))` self-check at line 1200. SUPERSESSION: line 503 declares it supersedes the earlier first_night_hmm_component_results.csv written by Testing/audit_first_night_hmm_components.R (same basename, overwritten); it is in turn superseded for the row set by the candidate-set decision chain and operationally by Analysis/14 + Functions/first_night_domain_driver.R. Reference updates on move: line 66 THIS_SCRIPT, line 67 UPSTREAM, line 503 supersedes literal (all provenance strings, no numbers). || MOVE_BREAKS: nothing functionally; THIS_SCRIPT/UPSTREAM/supersedes literals (lines 66, 67, 503) become stale paths in re-run outputs and the README"
"Testing/audits/audit_first_night_hmm_components.R","data_dependent_audit","Testing/audit_first_night_hmm_components.R","Testing/audits/audit_first_night_hmm_components.R",TRUE,"none - superseded manual scan; nothing sources it","Testing/audit_first_night_heatmap_v2.R (line 503)","yes","indirect","yes","SUPERSEDED (keep, do not delete). audit_first_night_heatmap_v2.R:503-505 states it 'wrote an earlier' version of first_night_hmm_component_results.csv and that the v2 run supersedes it and adds the resolution-agreement columns. Repo-root resolution: absolute setwd (line 38) + CWD-relative source (line 39) => depth-independent, SAFE. No THIS_SCRIPT literal. READS S:: hmm_states assignments, 03_derived_metrics, and the CombZ workbook E9_Behavior_Data.xlsx. WRITES TO S: ~13 CSVs plus Fig_first_night_hmm_components.{svg,pdf} into audit_hmm_state_architecture/first_night_domain_heatmap/ - NOTE the basename collision: first_night_hmm_component_results.csv, first_night_hmm_component_interactions.csv and Fig_first_night_hmm_components.* are all rewritten by audit_first_night_heatmap_v2.R, so re-running this older script after v2 would regress those artifacts. Flag that collision when placing it. It also uses a different window definition (first contiguous block of CC1 Active detected from TimeIndex runs) than the later canonical 18:30->06:30 clock anchor, which is exactly why it was superseded."
"Testing/audits/audit_first_night_production_parity.R","data_dependent_audit","Testing/audit_first_night_production_parity.R","Testing/audits/audit_first_night_production_parity.R",TRUE,"none scheduled - but it is the parity harness for the PRODUCTION code path: it sources Functions/first_night_window_helpers.R, first_night_domain_helpers.R and first_night_domain_driver.R and calls build_first_night_domain_analysis(), the same entry point Analysis/14_systems_neuroscience_summary_dashboard.R:5619-5628 uses","none","yes","yes","yes","Highest manuscript relevance of this family: it runs the SHIPPED production first-night builder standalone and proves numerical parity (item J) against the audit table OUT/first_night_10domain_scores.csv, i.e. it is the bridge that certifies the productionized Functions/first_night_domain_driver.R reproduces the audited numbers. Repo-root resolution: absolute setwd (line 5) + CWD-relative source (line 6) => depth-independent, SAFE. No THIS_SCRIPT literal. READS S:: 03_derived_metrics/5min_based/all_behavior_metrics.csv (roster) plus whatever the driver reads, and the S: audit dir for the parity comparison. DOES NOT WRITE TO S: - line 16 OUT points at a hard-coded scratchpad path 'C:/Users/topohl/AppData/Local/Temp/claude/c--Users-topohl-Documents-GitHub/2603874b-c21a-494f-aefd-10f961b8053d/scratchpad/orch/first_night_prod' carrying a STALE session UUID from a previous session; that is a scratch output dir, not a repo-identity reference, but it is machine- and session-specific and worth normalizing separately (out of scope for a pure move). Complements the portable test Testing/test_first_night_domain_contract.R, which covers the same driver without S: data."
"Testing/audits/audit_first_night_time_anchor.R","data_dependent_audit","Testing/audit_first_night_time_anchor.R","Testing/audits/audit_first_night_time_anchor.R",TRUE,"none - manual forensic run; nothing sources or schedules it","none","yes","indirect","yes","Repo-root resolution: absolute setwd (line 9) + CWD-relative source (line 10) => depth-independent, SAFE. No THIS_SCRIPT literal (line 137 only cites Analysis/09 as a descriptive string, it does not read that file). READS S:: 03_derived_metrics/{10min,5min}_based/all_behavior_metrics.csv. WRITES TO S:: first_night_time_anchor_audit.csv, first_night_time_anchor_audit_long.csv, first_night_window_contract.csv under audit_hmm_state_architecture/first_night_domain_heatmap/ (dir.create, self-bootstrapping). This is the script that derived the canonical 18:30->06:30 clock anchor FROM CODE (Analysis/09_early_prediction_model_ladder.R::select_primary_active_window) and documented that the on-disk Stage 09 artifacts are stale. Operationally superseded by the shared selector Functions/first_night_window_helpers.R and its portable test Testing/test_first_night_window_parity.R, but retain it as the derivation record of the window contract."
"Testing/audits/audit_first_night_window_provenance.R","data_dependent_audit","Testing/audit_first_night_window_provenance.R","Testing/audits/audit_first_night_window_provenance.R",TRUE,"none - manual 'Phase B prerequisite' probe; nothing sources it","none","yes","indirect","yes","Repo-root resolution: absolute setwd (line 5) + CWD-relative source (line 6) => depth-independent, SAFE. No self-path literal. READS S:: hmm_states/{10min,5min}_based/tables/hmm_state_assignments.csv and 12_systems_neuroscience_summary/5min_based/tables/systems_sis_domain_scores.csv. WRITES NOTHING - console output only. Smallest and earliest member of the family: it exposed (deliberately did not harmonize) the mismatch between the raw 12 h first-night window and the HMM CC1 Active epoch that spans several dark blocks, and the duplicate-row check between 'Early adaptation / prediction' and 'Active-phase adaptation/exploration'. Superseded in substance by audit_first_night_time_anchor.R (which pinned the clock anchor) and by audit_first_night_window_sensitivity.R (which quantified the 12 h vs ~48 h comparison); keep as the diagnostic that motivated both."
"Testing/audits/audit_first_night_window_sensitivity.R","data_dependent_audit","Testing/audit_first_night_window_sensitivity.R","Testing/audits/audit_first_night_window_sensitivity.R",TRUE,"none - manual sensitivity run; nothing sources it","none","yes","indirect","yes_with_reference_updates","Repo-root resolution: absolute setwd (line 49) + CWD-relative source (line 50) => depth-independent, SAFE. READS S:: 03_derived_metrics, 06_behavioral_dynamics/hmm_states. WRITES TO S: 4 CSVs (first_night_vs_all_cc1_active_epoch_geometry.csv, the correlation table, first_night_vs_all_cc1_active_sensitivity.csv, first_night_vs_all_cc1_active_assertions.csv) into audit_hmm_state_architecture/first_night_domain_heatmap/; no basename collisions with other family members. Scientifically load-bearing: it compares the canonical 12 h window against the full ~48 h CC1 Active epoch under two temporal-metric variants (bridging_stage08_current vs gap_aware) and explicitly states the manuscript panel keeps the 12 h window REGARDLESS of which produces larger contrasts - i.e. it documents that no window was chosen on p-values. Not superseded. Reference update on move: line 61 THIS_SCRIPT is stamped into the sensitivity table (line 593). || MOVE_BREAKS: nothing functionally; the THIS_SCRIPT literal (line 61) becomes a stale provenance string in re-run outputs"
"Testing/audits/audit_hmm_cross_optimum_gapaware.R","data_dependent_audit","Testing/audit_hmm_cross_optimum_gapaware.R","Testing/audits/audit_hmm_cross_optimum_gapaware.R",TRUE,"none (manual: Rscript Testing/audit_hmm_cross_optimum_gapaware.R from repo root)","none","yes","indirect","yes","Newest file in the set and the subject of HEAD commit 3f6f6a6 'Close the HMM cross-optimum robustness gate under the gap-aware contract' - the most directly manuscript-gating audit here, though still not read by any manuscript/ builder. Repo root via hardcoded absolute setwd at L23 + source('Analysis/_pipeline_setup.R') at L24, then source_mmm_helper('phase_classification_helpers.R') and ('hmm_stage14_helpers.R') at L25-26 - depth-independent. NOT CHAINED: reads only Stage 01 5min/10min all_behavior_metrics.csv under PROJ (L28, L72, L75) and refits depmixS4 at SEEDS c(1,11,101,313,57) spanning all four gap-aware optima (L32) - so it is self-contained but EXPENSIVE (five HMM refits); avoid re-running it merely to validate the move. Writes hmm_cross_optimum_gapaware_state_profiles.csv (L161), _contrasts.csv (L162), _sign_stability.csv (L176), _claim_verdicts.csv (L189)."
"Testing/audits/audit_hmm_state_architecture_component_models.R","data_dependent_audit","Testing/audit_hmm_state_architecture_component_models.R","Testing/audits/audit_hmm_state_architecture_component_models.R",TRUE,"none (manual: Rscript Testing/audit_hmm_state_architecture_component_models.R from repo root)","none","yes","indirect","yes","CHAINED CONSUMER of components.R. Repo root via repo_candidates at L66-72 with an explicit stop() at L72 if none resolve - depth-independent. HARD chain: L120-124 read hmm_architecture_component_epoch_metrics.csv from audit_out and stop() with the message 'Run Testing/audit_hmm_state_architecture_components.R first' if missing; that L123 string is a stale path once components.R moves (cosmetic, but it is the operator's instruction so it should be retargeted to Testing/audits/...). project_root hardcoded absolute at L76; also reads the Stage 01 canonical roster (L95-113, stop() if missing) and asserts nrow(canonical_roster)==111 at L114. Writes hmm_architecture_component_leaveout_sensitivity.csv (L680-681). L88 prints MMM_REPO_ROOT for provenance only."
"Testing/audits/audit_hmm_state_architecture_components.R","data_dependent_audit","Testing/audit_hmm_state_architecture_components.R","Testing/audits/audit_hmm_state_architecture_components.R",TRUE,"none (manual: Rscript Testing/audit_hmm_state_architecture_components.R from repo root)","Testing/audit_hmm_state_architecture_component_models.R (L43 comment, L123 stop() message); Testing/audit_hmm_state_architecture_redundancy.R (L31 comment)","yes","indirect","yes_with_reference_updates","ROOT PRODUCER OF THE FOUNDATION TABLE and the single most-depended-on file in this set. Repo root via repo_candidates at L77-83: c('MMMSociability/Analysis/_pipeline_setup.R', 'Analysis/_pipeline_setup.R', 'C:/Users/topohl/.../Analysis/_pipeline_setup.R') picked by file.exists(); all three are CWD-relative or absolute, none derived from the script's own location, so depth-independent. Reads S: Stage 01 roster, Stage 08 hmm_state_summary.csv, chip-loss QC, shipped Stage 14 scores (project_root hardcoded at L87). Writes the foundation table hmm_architecture_component_epoch_metrics.csv (L671-673) plus hmm_architecture_check_j5_active_dropout_epochs.csv (L1228) and hmm_architecture_check_l2_subsampling_length_bias.csv (L1530). Reference updates are COSMETIC ONLY: the two referring files name the old path 'Testing/audit_hmm_state_architecture_components.R' in a comment and a stop() message; nothing resolves that string at runtime, but it should be retargeted to Testing/audits/... so the operator instruction stays accurate. Must be run BEFORE component_models, longitudinal, redundancy, construct_comparison, and the three phaseA audits."
"Testing/audits/audit_hmm_state_architecture_construct_comparison.R","data_dependent_audit","Testing/audit_hmm_state_architecture_construct_comparison.R","Testing/audits/audit_hmm_state_architecture_construct_comparison.R",TRUE,"none (manual: Rscript Testing/audit_hmm_state_architecture_construct_comparison.R from repo root)","none","yes","indirect","yes","DEEPEST CHAINED AUDIT: depends on two other audits plus a shipped Stage 14 table. Repo root via repo_candidates at L51-57 - depth-independent. HARD dependency at L299-300 on the SHIPPED table systems_hmm_composite_component_audit.csv (stop() if missing) - that is a pipeline artifact, not an audit output. SOFT dependency at L749-751 on hmm_architecture_component_epoch_metrics.csv (from components.R) guarded by file.exists(). SOFT dependency at L848-873 on hmm_architecture_proposed_construct_contrasts.csv (from redundancy.R), which prints an explicit '[4b1] SKIPPED' branch when absent - so a stale run silently degrades rather than erroring; worth running components.R and redundancy.R first. project_root hardcoded absolute at L61, audit_out at L63. Writes hmm_architecture_construct_agreement.csv (L743), hmm_architecture_construct_comparison.csv (L1050), hmm_architecture_construct_comparison_structural.csv (L1077) and a markdown summary (L1376). It carries stale 'Testing/audit_hmm_state_architecture_redundancy.R' path strings at L14/L410/L1027 that should be retargeted when redundancy.R moves."
"Testing/audits/audit_hmm_state_architecture_gap_aware.R","data_dependent_audit","Testing/audit_hmm_state_architecture_gap_aware.R","Testing/audits/audit_hmm_state_architecture_gap_aware.R",TRUE,"none (manual: Rscript Testing/audit_hmm_state_architecture_gap_aware.R from repo root)","none","yes","indirect","yes","Repo root via hardcoded absolute setwd at L6 + source('Analysis/_pipeline_setup.R'); source_mmm_helper('hmm_stage14_helpers.R') at L7 - depth-independent. CHAINED CONSUMER: L60 reads hmm_architecture_temporal_epoch_metrics.csv (the 'naive' pre-gap comparison baseline from temporal_components.R), unguarded - this audit's entire purpose is the naive-vs-gap-aware delta, so running it without temporal_components.R having been run first is meaningless as well as fatal. A (audit dir) at L8 and HMM (Stage 06 hmm_states) at L9 are hardcoded absolute; also reads Stage 01 metrics inline at L41 and hmm_state_assignments.csv at L47. Writes hmm_architecture_gap_aware_contrasts.csv (L76)."
"Testing/audits/audit_hmm_state_architecture_identifiability.R","data_dependent_audit","Testing/audit_hmm_state_architecture_identifiability.R","Testing/audits/audit_hmm_state_architecture_identifiability.R",TRUE,"none (manual: Rscript Testing/audit_hmm_state_architecture_identifiability.R from repo root)","none","yes","indirect","yes","Repo root via hardcoded absolute setwd at L6 + source('Analysis/_pipeline_setup.R') at L7 - depth-independent. NOT CHAINED: reads only Stage 01 all_behavior_metrics.csv at both bin levels (L70, L77) under PROJ (L12). OUT hardcoded absolute at L11 via getOption('mmm.audit_out', ...). Writes hmm_architecture_identifiability_probe.csv (L130). Self-contained refit audit - safe to move and independently re-runnable."
"Testing/audits/audit_hmm_state_architecture_locomotion_dominance.R","data_dependent_audit","Testing/audit_hmm_state_architecture_locomotion_dominance.R","Testing/audits/audit_hmm_state_architecture_locomotion_dominance.R",TRUE,"none (manual: Rscript Testing/audit_hmm_state_architecture_locomotion_dominance.R; note it does NOT need CWD=repo root)","none","yes","indirect","yes","THE ONLY FILE IN THIS SET WITH NO REPO-ROOT RESOLUTION AT ALL - it never sources Analysis/_pipeline_setup.R and never calls source_mmm_helper(); the whole 58-line script is library() calls plus hardcoded absolute S: paths (OUT at L4 via getOption('mmm.audit_out', ...), B at L5). It is therefore trivially and unconditionally safe to move to any depth, and is also the only one indifferent to the invocation CWD. CHAINED CONSUMER: L7 reads hmm_architecture_temporal_epoch_metrics.csv (produced by temporal_components.R) with no file.exists() guard, so it fails with a readr error rather than a clean stop() if run out of order. Also reads the shipped systems_sis_domain_scores.csv twice (L9, L13). Writes hmm_architecture_locomotion_dominance_by_metric.csv (L41). Because it skips _pipeline_setup.R it also skips canonical_animal_id()/roster assertions that its siblings apply - a pre-existing property, not affected by the move."
